field_1,field_2,field_3,field_4
5 FW E2 9553,5 PC C1 6103,2 HW F2 1176,5 SW F4 7545
5 WW C1 4041,2 FW B3 9973,9 FW C2 4442,9 HW A3 2260
6 PC F2 3554,2 IA D1 9717,9 PC E5 2103,3 WW E2 5629
2 SA D1 4762,2 FW D3 3197,9 WW F2 8726,9 PC G4 3019
1 PC A3 3224,4 HW G4 9738,8 HW E2 2887,9 WW B4 1060
8 FF D4 9594 ,2 HW F1 6985,9 BG B3 2453,8 IA F3 5202
7 FW E5 3269,7 SW D2 1602,2 BG H1 5509,9 BG A2 9559
4 BG B4 5128,3 IA D1 6320,4 GH F2 7414,4 GH B4 1470
9 FW B2 5619,8 WW E3 4745,9 WW B1 5289,8 FF C5 3444
4 WW B2 8183,7 PC E5 9247,3 FF E3 1010,2 BG D5 7398
2 FF E4 8230,7 HW F2 8035,5 FF C4 1157,2 HW B2 4053
3 FW F1 7120,3 BG F4 1130,4 SA B2 4712,5 WW C2 5891
2 SA B2 4363,6 PC B2 7238,6 WW F4 3466,2 PC C5 5959
4 BG B1 5493,3 IA C1 1885,2 SA B2 7691,4 IA A3 5030
5 SW A5 4268,1 PC F1 3059,3 GH B2 8296,5 FF H3 1254
2 GH D1 1547,1 SW C3 7741,8 IA B1 1201,2 FW G3 6690
4 FF D3 6652,6 SW F2 3279,7 BG D4 5941,5 BG G3 1087
7 BG H4 3423,3 PC B1 2464,4 GH E1 3890 ,7 PC G3 1576
7 SW G1 2297,5 PC H3 4153,2 WW G5 3261,1 PC G1 5085
8 FF H2 2566,9 HW G1 5047,6 IA H1 9312,3 FW F1 6859
7 SA D4 6594,8 FW F4 8851,9 SA G1 3294,3 FF H3 6821
6 GH F1 6770,5 GH A3 6358,1 SA G4 9772,4 SW E1 1187
3 PC H1 6894,6 WW G5 4573,4 SA E2 2481,8 IA G2 4345
2 GH B2 5865,1 GH H1 7965,4 GH A1 9014,5 HW B4 1438
1 GH D4 6336,2 FF B5 5282,3 HW D3 6702,3 BG C4 2557
